Date,Time,Azimuth angle,Elevation (refracted),Declination,Mean anomaly,Mean longitude,Julian day
9/25/1997,0:00:00,95.3289,-8.9642,-0.7495,260.8760,183.7690,50716.4180
9/25/1997,0:10:00,95.3320,-8.9642,-0.7522,260.8828,183.7758,50716.4219
9/25/1997,0:20:00,95.3351,-8.9642,-0.7549,260.8897,183.7827,50716.4297
9/25/1997,0:30:00,95.3381,-8.9642,-0.7576,260.8965,183.7895,50716.4375
9/25/1997,0:40:00,95.3412,-8.9642,-0.7603,260.9034,183.7964,50716.4453
9/25/1997,0:50:00,95.3443,-8.9642,-0.7630,260.9103,183.8032,50716.4531
9/25/1997,1:00:00,95.3473,-8.9642,-0.7657,260.9171,183.8101,50716.4570
9/25/1997,1:10:00,95.3504,-8.9642,-0.7684,260.9239,183.8169,50716.4648
9/25/1997,1:20:00,95.3535,-8.9642,-0.7711,260.9308,183.8237,50716.4727
9/25/1997,1:30:00,95.3565,-8.9642,-0.7738,260.9376,183.8306,50716.4805
9/25/1997,1:40:00,95.3596,-8.9642,-0.7765,260.9444,183.8374,50716.4844
9/25/1997,1:50:00,95.3627,-8.9642,-0.7793,260.9513,183.8443,50716.4922
9/25/1997,2:00:00,95.3657,-8.9642,-0.7820,260.9582,183.8511,50716.5000
9/25/1997,2:10:00,95.3688,-8.9642,-0.7847,260.9650,183.8580,50716.5078
9/25/1997,2:20:00,95.3719,-8.9642,-0.7874,260.9719,183.8648,50716.5156
9/25/1997,2:30:00,95.3749,-8.9642,-0.7901,260.9787,183.8717,50716.5195
9/25/1997,2:40:00,95.3780,-8.9642,-0.7928,260.9855,183.8785,50716.5273
9/25/1997,2:50:00,95.3811,-8.9642,-0.7955,260.9924,183.8853,50716.5352
9/25/1997,3:00:00,95.3841,-8.9642,-0.7982,260.9992,183.8922,50716.5430
9/25/1997,3:10:00,95.3872,-8.9642,-0.8009,261.0060,183.8990,50716.5469
9/25/1997,3:20:00,95.3903,-8.9642,-0.8036,261.0129,183.9059,50716.5547
9/25/1997,3:30:00,95.3933,-8.9642,-0.8063,261.0197,183.9127,50716.5625
9/25/1997,3:40:00,95.3964,-8.9642,-0.8090,261.0266,183.9196,50716.5703
9/25/1997,3:50:00,95.3995,-8.9642,-0.8117,261.0335,183.9264,50716.5781
9/25/1997,4:00:00,95.4025,-8.9642,-0.8144,261.0403,183.9333,50716.5820
9/25/1997,4:10:00,95.4056,-8.9642,-0.8171,261.0471,183.9401,50716.5898
9/25/1997,4:20:00,95.4087,-8.9642,-0.8198,261.0540,183.9470,50716.5977
9/25/1997,4:30:00,95.4117,-8.9642,-0.8225,261.0609,183.9538,50716.6055
9/25/1997,4:40:00,95.4148,-8.9642,-0.8252,261.0676,183.9606,50716.6094
9/25/1997,4:50:00,95.4179,-8.9642,-0.8279,261.0745,183.9675,50716.6172
9/25/1997,5:00:00,95.4209,-8.9642,-0.8306,261.0814,183.9743,50716.6250
9/25/1997,5:10:00,95.4240,-8.9642,-0.8334,261.0882,183.9812,50716.6328
9/25/1997,5:20:00,95.1882,-8.4934,-0.8361,261.0951,183.9880,50716.6406
9/25/1997,5:30:00,94.0610,-6.2432,-0.8388,261.1019,183.9949,50716.6445
9/25/1997,5:40:00,92.9449,-3.9749,-0.8415,261.1087,184.0017,50716.6523
9/25/1997,5:50:00,91.8364,-1.6338,-0.8442,261.1156,184.0086,50716.6602
9/25/1997,6:00:00,90.7320,0.8480,-0.8469,261.1224,184.0154,50716.6680
9/25/1997,6:10:00,89.6286,2.9145,-0.8496,261.1292,184.0222,50716.6719
9/25/1997,6:20:00,88.5225,5.0766,-0.8523,261.1361,184.0291,50716.6797
9/25/1997,6:30:00,87.4103,7.2776,-0.8550,261.1429,184.0359,50716.6875
9/25/1997,6:40:00,86.2887,9.4925,-0.8577,261.1498,184.0428,50716.6953
9/25/1997,6:50:00,85.1540,11.7133,-0.8604,261.1567,184.0496,50716.7031
9/25/1997,7:00:00,84.0024,13.9352,-0.8631,261.1635,184.0565,50716.7070
9/25/1997,7:10:00,82.8299,16.1556,-0.8658,261.1703,184.0633,50716.7148
9/25/1997,7:20:00,81.6323,18.3721,-0.8685,261.1772,184.0702,50716.7227
9/25/1997,7:30:00,80.4052,20.5832,-0.8712,261.1840,184.0770,50716.7305
9/25/1997,7:40:00,79.1436,22.7871,-0.8739,261.1908,184.0838,50716.7344
9/25/1997,7:50:00,77.8423,24.9823,-0.8766,261.1977,184.0907,50716.7422
9/25/1997,8:00:00,76.4954,27.1673,-0.8793,261.2046,184.0975,50716.7500
9/25/1997,8:10:00,75.0965,29.3401,-0.8820,261.2114,184.1044,50716.7578
9/25/1997,8:20:00,73.6386,31.4989,-0.8848,261.2183,184.1112,50716.7656
9/25/1997,8:30:00,72.1138,33.6415,-0.8875,261.2251,184.1181,50716.7695
9/25/1997,8:40:00,70.5132,35.7657,-0.8902,261.2319,184.1249,50716.7773
9/25/1997,8:50:00,68.8270,37.8686,-0.8929,261.2388,184.1318,50716.7852
9/25/1997,9:00:00,67.0442,39.9472,-0.8956,261.2456,184.1386,50716.7930
9/25/1997,9:10:00,65.1523,41.9978,-0.8983,261.2524,184.1454,50716.7969
9/25/1997,9:20:00,63.1373,44.0165,-0.9010,261.2593,184.1523,50716.8047
9/25/1997,9:30:00,60.9836,45.9985,-0.9037,261.2661,184.1591,50716.8125
9/25/1997,9:40:00,58.6736,47.9382,-0.9064,261.2730,184.1660,50716.8203
9/25/1997,9:50:00,56.1879,49.8293,-0.9091,261.2799,184.1728,50716.8281
9/25/1997,10:00:00,53.5051,51.6642,-0.9118,261.2867,184.1797,50716.8320
9/25/1997,10:10:00,50.6022,53.4342,-0.9145,261.2935,184.1865,50716.8398
9/25/1997,10:20:00,47.4547,55.1291,-0.9172,261.3004,184.1934,50716.8477
9/25/1997,10:30:00,44.0377,56.7373,-0.9199,261.3073,184.2002,50716.8555
9/25/1997,10:40:00,40.3274,58.2453,-0.9226,261.3140,184.2071,50716.8594
9/25/1997,10:50:00,36.3028,59.6380,-0.9253,261.3209,184.2139,50716.8672
9/25/1997,11:00:00,31.9491,60.8987,-0.9280,261.3278,184.2207,50716.8750
9/25/1997,11:10:00,27.2612,62.0093,-0.9307,261.3346,184.2276,50716.8828
9/25/1997,11:20:00,22.2484,62.9513,-0.9334,261.3415,184.2344,50716.8906
9/25/1997,11:30:00,16.9380,63.7062,-0.9362,261.3483,184.2413,50716.8945
9/25/1997,11:40:00,11.3780,64.2577,-0.9389,261.3551,184.2481,50716.9023
9/25/1997,11:50:00,5.6379,64.5924,-0.9416,261.3620,184.2550,50716.9102
9/25/1997,12:00:00,359.8068,64.7016,-0.9443,261.3688,184.2618,50716.9180
9/25/1997,12:10:00,353.9722,64.5825,-0.9470,261.3756,184.2687,50716.9219
9/25/1997,12:20:00,348.2383,64.2382,-0.9497,261.3825,184.2755,50716.9297
9/25/1997,12:30:00,342.6878,63.6776,-0.9524,261.3893,184.2823,50716.9375
9/25/1997,12:40:00,337.3894,62.9143,-0.9551,261.3962,184.2892,50716.9453
9/25/1997,12:50:00,332.3902,61.9647,-0.9578,261.4031,184.2960,50716.9531
9/25/1997,13:00:00,327.7168,60.8474,-0.9605,261.4099,184.3029,50716.9570
9/25/1997,13:10:00,323.3773,59.5808,-0.9632,261.4167,184.3097,50716.9648
9/25/1997,13:20:00,319.3663,58.1830,-0.9659,261.4236,184.3166,50716.9727
9/25/1997,13:30:00,315.6688,56.6706,-0.9686,261.4304,184.3234,50716.9805
9/25/1997,13:40:00,312.2635,55.0588,-0.9713,261.4372,184.3303,50716.9844
9/25/1997,13:50:00,309.1264,53.3607,-0.9740,261.4441,184.3371,50716.9922
9/25/1997,14:00:00,306.2328,51.5881,-0.9767,261.4510,184.3439,50717.0000
9/25/1997,14:10:00,303.5581,49.7511,-0.9794,261.4578,184.3508,50717.0078
9/25/1997,14:20:00,301.0795,47.8583,-0.9821,261.4647,184.3576,50717.0156
9/25/1997,14:30:00,298.7757,45.9173,-0.9849,261.4715,184.3645,50717.0195
9/25/1997,14:40:00,296.6270,43.9342,-0.9876,261.4783,184.3713,50717.0273
9/25/1997,14:50:00,294.6164,41.9147,-0.9903,261.4852,184.3782,50717.0352
9/25/1997,15:00:00,292.7280,39.8635,-0.9930,261.4920,184.3850,50717.0430
9/25/1997,15:10:00,290.9481,37.7847,-0.9957,261.4988,184.3919,50717.0469
9/25/1997,15:20:00,289.2641,35.6817,-0.9984,261.5057,184.3987,50717.0547
9/25/1997,15:30:00,287.6652,33.5576,-1.0011,261.5125,184.4056,50717.0625
9/25/1997,15:40:00,286.1414,31.4152,-1.0038,261.5194,184.4124,50717.0703
9/25/1997,15:50:00,284.6841,29.2569,-1.0065,261.5263,184.4193,50717.0781
9/25/1997,16:00:00,283.2854,27.0847,-1.0092,261.5331,184.4261,50717.0820
9/25/1997,16:10:00,281.9382,24.9005,-1.0119,261.5399,184.4329,50717.0898
9/25/1997,16:20:00,280.6362,22.7061,-1.0146,261.5468,184.4398,50717.0977
9/25/1997,16:30:00,279.3734,20.5032,-1.0173,261.5536,184.4466,50717.1055
9/25/1997,16:40:00,278.1448,18.2934,-1.0200,261.5604,184.4535,50717.1094
